city,country,year,congestion_pct,avg_commute_min,hours_lost,cost_impact_usd,congestion_index
Cairo,Egypt,2024,44.0,38.0,139.33333333333334,3483.3333333333335,16.72
New York,USA,2024,37.0,41.0,126.41666666666667,3160.416666666667,15.17
Paris,France,2024,41.0,34.0,116.16666666666667,2904.166666666667,13.94
London,United Kingdom,2024,38.0,36.0,114.0,2850.0,13.68
Los Angeles,USA,2024,36.0,35.0,105.0,2625.0,12.6
Toronto,Canada,2024,33.0,34.0,93.5,2337.5,11.22
Dubai,United Arab Emirates,2024,35.0,29.0,84.58333333333331,2114.583333333333,10.15
Riyadh,Saudi Arabia,2024,32.0,30.0,80.0,2000.0,9.6
Jeddah,Saudi Arabia,2024,28.0,27.0,63.00000000000001,1575.0000000000002,7.56
Munich,Germany,2024,25.0,28.0,58.333333333333336,1458.3333333333335,7.0
Doha,Qatar,2024,26.0,26.0,56.333333333333336,1408.3333333333335,6.76
